:ID,journal:string
11999707,J. Comput. Virol.
11999709,Eur. J. Inf. Syst.
11999713,Math. Soc. Sci.
11999714,IEEE Trans. Green Commun. Netw.
11999718,Games
11999722,Int. J. Found. Comput. Sci.
11999723,Future Gener. Comput. Syst.
11999724,Int. J. Appl. Earth Obs. Geoinformation
11999726,Inf. Econ. Policy
11999728,Int. J. Humanoid Robotics
11999729,Comput. Law Secur. Rev.
11999732,Bio Algorithms Med Syst.
11999734,Logist. Res.
11999735,Scalable Comput. Pract. Exp.
11999736,Biomed. Signal Process. Control.
11999737,Evol. Syst.
11999738,Soc. Networks
11999741,IEEE Signal Process. Mag.
11999742,Secur. Commun. Networks
11999743,Cybern. Syst.
11999744,Ann. Softw. Eng.
11999748,Int. J. Hum. Comput. Stud.
11999749,Int. J. Man Mach. Stud.
11999751,MIS Q. Executive
11999756,Electron. Publ.
11999757,Ann. Pure Appl. Log.
11999758,Ann. Math. Log.
11999762,Appl. Intell.
11999767,Robotica
11999771,IEEE CAA J. Autom. Sinica
11999772,AGIT Journal Angew. Geoinformatik
11999774,Comput. Biol. Medicine
11999775,J. Glob. Inf. Manag.
11999777,Int. J. Medical Eng. Informatics
11999778,Knowl. Based Syst.
11999779,Microelectron. Reliab.
11999781,IEEE Trans. Inf. Forensics Secur.
11999782,IEEE J. Emerg. Sel. Topics Circuits Syst.
11999785,Comput. Appl. Math.
11999788,Asymptot. Anal.
11999789,Biol. Cybern.
11999795,J. Comput. Mediat. Commun.
11999796,Eng. Appl. Artif. Intell.
11999798,Cogn. Syst. Res.
11999801,Fuzzy Sets Syst.
11999802,J. Vis.
11999804,Int. J. Commun. Netw. Syst. Sci.
11999805,Int. J. Bus. Intell. Data Min.
11999806,J. Adv. Inf. Fusion
11999807,J. Inf. Sci.
11999809,Inf. Soc.
11999813,J. Heuristics
11999814,Comput. Entertain.
11999815,Trans. Data Priv.
11999816,J. Documentation
11999821,Int. J. Crit. Comput. Based Syst.
11999823,IACR Trans. Cryptogr. Hardw. Embed. Syst.
11999824,Energy Inform.
11999826,LISP Symb. Comput.
11999827,ACM Trans. Sens. Networks
11999828,Entropy
11999829,Sci. Program.
11999831,J. VLSI Signal Process.
11999833,Data Knowl. Eng.
11999834,SIGACT News
11999835,J. Optim. Theory Appl.
11999837,Model. Assist. Stat. Appl.
11999838,J. Inform. and Commun. Convergence Engineering
11999839,Comput. Intell. Neurosci.
11999842,J. Imaging
11999843,Math. Comput. Model.
11999844,Int. J. Biom.
11999845,Prax. Inf.verarb. Kommun.
11999846,Comput. Secur.
11999847,Bell Labs Tech. J.
11999848,Learn. Publ.
11999852,Ecol. Informatics
11999855,Int. J. Ambient Comput. Intell.
11999856,IEEE Trans. Broadcast.
11999858,Simul. Pract. Theory
11999859,Simul. Model. Pract. Theory
11999861,J. Syst. Softw.
11999863,IEEE Trans. Intell. Veh.
11999868,Int. J. Soc. Media Interact. Learn. Environ.
11999869,J. Log. Lang. Inf.
11999872,SIAM J. Control. Optim.
11999873,SIAM J. Financial Math.
11999875,Ingénierie des Systèmes d Inf.
11999876,J. Community Informatics
11999877,Inf. Technol. Control.
11999879,IEEE Trans. Biomed. Eng.
11999881,Trans. GIS
11999883,Mark. Sci.
11999884,J. Soc. Struct.
11999885,Trans. Inst. Meas. Control
11999893,Robotics
11999894,J. Integr. Bioinform.
11999895,Int. J. Document Anal. Recognit.
11999898,Comput. Aided Des.
11999901,i-com
11999902,J. Inf. Technol. Tour.
11999903,Comput. Aided Civ. Infrastructure Eng.
11999904,Comput. Speech Lang.
11999905,Innov. Syst. Softw. Eng.
11999907,Int. J. Heal. Inf. Syst. Informatics
11999908,IEEE Trans. Commun.
11999911,IEEE Des. Test Comput.
11999912,IEEE Des. Test
11999915,Sensors
11999916,Int. J. Intell. Robotics Appl.
11999921,Arch. Formal Proofs
11999922,Proc. IEEE
11999924,EAI Endorsed Trans. Ind. Networks Intell. Syst.
11999925,Br. J. Educ. Technol.
11999926,Comput. Ind. Eng.
11999927,IEEE J. Biomed. Health Informatics
11999928,IEEE Trans. Inf. Technol. Biomed.
11999929,J. Inf. Commun. Ethics Soc.
11999931,Peer-to-Peer Netw. Appl.
11999932,Inf. Softw. Technol.
11999934,Artif. Intell. Res.
11999935,Commun. Res.
11999936,PLoS Comput. Biol.
11999938,Int. J. Comput. Eng. Sci.
11999939,RAIRO Theor. Informatics Appl.
11999941,Int. J. Appl. Metaheuristic Comput.
11999942,Rev. Symb. Log.
11999944,Contributions Discret. Math.
11999945,J. Inf. Technol.
11999952,Commun. Nonlinear Sci. Numer. Simul.
11999957,Int. J. Fuzzy Log. Intell. Syst.
11999959,J. Cheminformatics
11999963,Int. J. Comput. Geom. Appl.
11999965,Interact. Comput.
11999967,Games Econ. Behav.
11999968,IEEE Trans. Control. Netw. Syst.
11999969,Int. J. Comput. Aided Eng. Technol.
11999971,J. Autom. Reason.
11999973,Int. J. Model. Identif. Control.
11999977,Int. J. Data Min. Bioinform.
11999978,J. Biomed. Informatics
11999979,Comput. Biomed. Res.
11999981,Random Struct. Algorithms
11999983,SIAM J. Appl. Math.
11999985,Frontiers Neurorobotics
11999986,Frontiers Comput. Sci. China
11999987,IEEE Trans. Fuzzy Syst.
11999988,J. Log. Comput.
11999989,Int. J. Web Based Communities
11999991,User Model. User Adapt. Interact.
11999993,Comput. Hum. Behav.
11999995,Aust. J. Intell. Inf. Process. Syst.
11999996,Informationstechnik Tech. Inform.
11999998,it Inf. Technol.
12000000,Data Sci. J.
12000102,IEEE Trans. Syst. Sci. Cybern.
12000103,J. Comput.
12000104,Cyberpsychology Behav. Soc. Netw.
12000105,Australas. J Comb.
12000107,Period. Math. Hung.
12000111,Quantum Inf. Process.
12000112,J. Adv. Comput. Intell. Intell. Informatics
12000113,Finance Stochastics
12000114,Robotics Auton. Syst.
12000116,Vis. Comput.
12000117,Comput. Graph. Forum
12000118,Soc. Netw. Anal. Min.
12000121,Trans. Case Based Reason.
12000123,ACM Trans. Database Syst.
12000125,ACM Trans. Graph.
12000126,Int. J. Mechatronics Autom.
12000128,Mach. Learn. Sci. Technol.
12000129,Data Base
12000131,ACM SIGAPL APL Quote Quad
12000132,Informatica
12000135,J. Lond. Math. Soc.
12000137,Comput. J.
12000138,IEEE Veh. Technol. Mag.
12000142,Frontiers Neuroinformatics
12000145,Ars Math. Contemp.
12000146,Softw. Pract. Exp.
12000148,IEEE Consumer Electron. Mag.
12000151,IEEE Trans. Neural Networks Learn. Syst.
12000152,J. Math. Imaging Vis.
12000154,Bell Syst. Tech. J.
12000155,AT&T Bell Lab. Tech. J.
12000156,Adapt. Behav.
12000157,Probl. Inf. Transm.
12000158,Ubiquity
12000161,Int. J. Inf. Decis. Sci.
12000164,J. Inf. Telecommun.
12000165,Comput. Sci. Educ.
12000166,IEICE Electron. Express
12000168,Mob. Inf. Syst.
12000169,Ann. des Télécommunications
12000172,J. Algorithms
12000173,Int. J. Cyber Behav. Psychol. Learn.
12000174,Int. J. Interdiscip. Telecommun. Netw.
12000175,IEEE Trans. Dependable Secur. Comput.
12000176,J. Comput. Biol.
12000177,J. Comb. Optim.
12000182,"J. Graphics, GPU, & Game Tools"
12000183,J. Math. Cryptol.
12000184,EURASIP J. Adv. Signal Process.
12000185,SIGCAS Comput. Soc.
12000188,J. Manag. Inf. Syst.
12000189,J. Syst. Archit.
12000192,SIAM J. Imaging Sci.
12000193,Fuzzy Optim. Decis. Mak.
12000196,Int. J. Comput. Intell. Syst.
12000199,BMC Medical Imaging
12000202,Int. J. Data Warehous. Min.
12000203,IEEE Distributed Syst. Online
12000205,IEEE Trans. Image Process.
12000206,Transp. Sci.
12000207,Int. J. Softw. Eng. Knowl. Eng.
12000208,Mach. Vis. Appl.
12000209,Computing
12000212,Int. J. Netw. Virtual Organisations
12000213,Systems and Computers in Japan
12000217,IEEE Robotics Autom. Mag.
12000219,IEEE Commun. Lett.
12000224,IACR Trans. Symmetric Cryptol.
12000225,VLDB J.
12000226,IEEE ACM Trans. Audio Speech Lang. Process.
12000227,IEEE Trans. Speech Audio Process.
12000228,Softw. Test. Verification Reliab.
