author_keywords;;
Angular surfaces 00 Cavity effect 00 Specular reflection 00 V-groove 00 Variable emissivity surface;;
Alumina nanoparticles 00 Carbon nanotubes 00 Catalysis 00 Chemical vapor deposition 00 Ferrocene;;
Earthquakes 00 Natural radial frequency 00 Pile 00 Raft 00 Stiffness 00 Superstructure;;
Finite element 00 Hernia 00 Pelvic organ prolapse 00 Prolene® 00 Prosthetic mesh;;
;;
;;
;;
;;
;;
;;
Drug discovery 00 Peptide 00 Random forest;;
Biophotonics 00 biosensors 00 dielectric waveguides 00 fluorescence spectroscopy 00 integrated optics 00 multimode interference waveguides 00 multiplexing;;
;;
;;
;;
;;
Collaborative filtering 00 Deep learning 00 Movie recommendation;;
Graduate school 00 Machine learning 00 Recommender;;
;;
Cylindrical 00 ODT 00 One-dimensional turbulence 00 Turbulence modeling;;
Compliant 00 Curvature 00 Developable 00 Joint 00 Rolling contact 00 Ruled surface;;
;;
;;
hardware tokens 00 longitudinal study 00 two factor authentication 00 usability 00 YubiKey;;
;;
Engineering research 00 Content creation 00 Talent management 00 Human resource management;;
schools 00 Social media 00 Twitter;;
complementary metal-oxide-semiconductor image sensor 00 contact imaging 00 hybrid microfluidic 00 integrated valves 00 polydimethylsiloxane;;
Antenna arrays 00 antenna radiation pattern synthesis 00 cryptography 00 security;;
;;
affective theories 00 design projects 00 electrodermal activity 00 learning environment 00 multimodal methods;;
Compliant mechanisms 00 Flexible manipulator 00 Flexure hinge 00 Transfer matrix method;;
infrared imaging 00 infrared space observatory 00 infrared spectroscopy 00 planets 00 telescopes 00 Wide Field Infrared Survey Telescope;;
3D printing 00 Microfluidics 00 Particle traps 00 Stereolithography;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
CC2 005 00 CC202 000 Computing education 00 Future computing education;;
;;
;;
Bézier dual basis 00 Bézier extraction 00 Bézier projection 00 B̄-projection 00 Isogeometric analysis 00 Locking;;
;;
charge redistribution 00 Charge-steering amplifier 00 dynamic amplifier 00 dynamic circuit 00 operational amplifier;;
Annealing twins 00 EBSD 00 Friction welding 00 Recrystallization 00 Superalloy;;
Convection 00 Heat transfer 00 Mass transfer 00 Microchannel 00 Nucleation 00 Superhydrophobic;;
;;
Dielectric waveguides 00 fluorescence 00 fluorescence spectroscopy 00 integrated optics 00 multimode waveguides 00 multiplexing 00 rib waveguides;;
;;
Concentric and eccentric loading 00 High-strength concrete masonry block 00 Hollow and grouted prisms;;
BP neural network 00 Inverse piezoresistive nanocomposite sensor 00 Posture identification 00 Sitting posture 00 Strain gauge;;
;;
;;
Criteria pollutants 00 Electric vehicles 00 Environmental impact 00 Inversion 00 Modeling and simulation;;
Blast 00 Diffusion MRI 00 ENIGMA 00 Military 00 Traumatic brain injury;;
Forefoot strike 00 Metatarsophalangeal joint 00 Midfoot 00 Multi-segment foot 00 Rearfoot strike;;
Fiber optic sensors 00 Noise reduction 00 Phase modulation;;
carbon nanotube 00 cyclic voltammetry 00 electrical resistivity 00 microelectrode array 00 neural probe;;
CAD 00 Computer-aided engineering model interaction 00 Data translation 00 Virtual reality;;
Buckingham's Pi theorem 00 Critical weld parameters 00 Dimensional analysis 00 Friction stir welding 00 Rosenthal equation 00 Thermal modeling;;
Bézier extraction 00 Bézier projection 00 Isogeometric analysis 00 Mortar methods;;
electric reliability 00 ETR 00 outage 00 restoration 00 severe weather;;
foam 00 impact 00 multifunctional 00 nanocomposite 00 self-sensing 00 signal drift;;
;;
Evans function 00 Stability 00 Travelling waves;;
cross-talk 00 flexible tactile sensor array 00 scalable 00 soft body sensing 00 soft robot;;
;;
antireflective 00 light blocking 00 optics;;
;;
;;
;;
atrium 00 cavoatrial junction 00 laser 00 PICC 00 stylet 00 superior vena cava;;
Access density 00 Conditional Autoregressive (CAR) model 00 Macro level safety modeling 00 Road network patterns 00 Signal density 00 Suburban arterials;;
;;
endurance time 00 machine learning 00 prediction 00 questionnaire data;;
;;
;;
Crystallographic Texture 00 Grain boundary engineering 00 Grain boundary network 00 Microstructure Design 00 Triple Junction;;
Coanda effect 00 Firefighter safety 00 Flame attachment on slopes 00 Safe separation distance;;
human-robot interaction 00 swarms;;
Earthquake 00 Infrastructure 00 Landslide 00 LIDAR 00 Liquefaction 00 Structure-from-motion;;
;;
cell-free protein synthesis 00 coarse-grain simulation 00 PEG 00 PEGylation 00 site-specific 00 unnatural amino acid;;
Debugging 00 Field-Programmable Gate Array 00 High-Level Synthesis;;
Finite element model (FEM) 00 robotic surgery 00 suture 00 wound closure;;
Cysteine detection 00 Mercury(II) colorimetric sensor 00 Pyrimidine;;
Delay 00 Extended Kalman filter 00 Phasor measurement unit 00 State estimation;;
;;
;;
;;
Collaborative design 00 Group dynamics 00 Multi-user CAD;;
Ashby methods 00 Energy absorption 00 Foam 00 Football helmet 00 Materials selection;;
Axial force 00 EBSD 00 Friction welding 00 Power 00 Recrystallization 00 Superalloy;;
CAD Database 00 Interoperability 00 Multi-User 00 PLM;;
;;
;;
;;
Consolidation 00 Difference equations 00 Embankments 00 Office buildings 00 Soils 00 Curve fitting technique 00 Different stages 00 Embankment construction 00 Instrumentation installation 00 Primary consolidation 00 Project communications 00 Project schedules 00 Subsurface layer 00 Curve fitting;;
;;
;;
;;
Effective area shape 00 horn antennas 00 Poynting streamlines 00 superdirectivity;;
;;
;;
Dams 00 Environmental regulations 00 Human resource management 00 Laws and legislation 00 Personnel training 00 Reservoir management 00 Reservoirs (water) 00 Rivers 00 Sedimentation 00 Advisory committee 00 Deposited sediments 00 Reservoir capacity 00 Reservoir sediments 00 Sediment management 00 Sediment management plans 00 U.s. bureau of reclamations 00 Water informations 00 Sediments;;
;;
;;
;;
;;
Bloom’s Taxonomy 00 Design Culture 00 Design Education 00 Industrial Design 00 Participatory Learning;;
Applied learning 00 Design Education 00 Experiential Learning 00 Field Trip 00 Industrial Design 00 Pedagogy;;
Abstracting 00 Education computing 00 Image segmentation 00 Problem solving 00 Product design 00 Studios 00 Chunking 00 Complex problem solving 00 Conceptual understanding 00 Educational experiences 00 Frameworks 00 Information overloads 00 Information reduction 00 Insight 00 Students;;
Grammatical evolution 00 Swarms;;
;;
;;
;;
;;
Advanced high strength steels (AHSS) 00 Carbon steels 00 High strength low alloy (HSLA) steels 00 Joining 00 Oxide dispersion strengthened (ODS) steels 00 Stainless steels;;
Corrosion resistance 00 Crack healing 00 Friction stir processing 00 Stainless steel;;
;;
;;
;;
;;
;;
Origami 00 Radiation 00 Thermal Management 00 Variable Emissivity;;
;;
;;
;;
;;
;;
Capabilities 00 Excess 00 Over-design 00 Redesign 00 Requirements;;
;;
;;
Fault tolerace 00 field programmable gate arrays 00 neutron radiation effects 00 redundancy 00 static random access memory (SRAM) cells;;
;;
CubeSat 00 Earth observation 00 engineering design 00 microwave remote sensing 00 ocean winds 00 scatterometer 00 small satellites 00 system engineering;;
Optical trapping 00 Photophoresis 00 Volumetric display;;
BDI 00 Commitment 00 Graphical user interfaces 00 Human-robot collaboration 00 Human-robot interaction 00 Human-robot teams 00 Intent 00 Intention 00 Multi-objective path planing 00 Plans 00 Reasoning 00 Replanning 00 Tradeoffs;;
;;
;;
;;
;;
;;
;;
;;
Complaint mechanisms 00 Cross-axis flexural pivot 00 Cylindrical cross-axis flexural pivot 00 Minimally invasive surgery 00 Nitinol 00 Pseudoelastic 00 Superelastic;;
Limit analysis 00 Masonry shear-wall 00 Masonry structures 00 Numerical modelling 00 Strut-and-tie model;;
Dry-stack 00 Finite element model 00 In-plane shear capacity 00 Masonry;;
Engineering design 00 Self-efficacy 00 Topic emotions;;
;;
Collaborative learning 00 Computer-mediated-communication 00 Systems engineering 00 Virtual teams;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
Distance learning 00 Multi-university capstone 00 Team performance 00 Virtual teams;;
;;
;;
;;
Emissions 00 Fire 00 Soot formation;;
ATR 00 SfM 00 Structure-from-Motion 00 UAV 00 View-planning;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
finite element modeling 00 Plaxis2D® 00 quay wall 00 wharf;;
;;
;;
Conceptual blocks 00 Design heuristics 00 Engineering design 00 First year curriculum 00 Service learning;;
AA6111 00 Butt-joint 00 EBSD 00 FSW 00 High-Speed 00 Mechanical 00 Tensile 00 Texture;;
;;
Antenna 00 Measurement 00 Propagation;;
;;
holography 00 near-to-eye display 00 waveguide optics;;
cybersecurity 00 graph-theory 00 insider threat 00 multiparty computation 00 simulation 00 state inference;;
face recognition 00 image processing 00 machine learning 00 object detection;;
Compressive strength 00 Confinement 00 Mortar 00 Numerical model 00 Stress-strain behavior;;
Ballistic armor 00 Dynamic testing 00 Fiber Bragg gratings;;
Interdisciplinary design 00 Multidisciplinary design 00 New product development 00 Project based learning 00 Virtual academic enterprise;;
;;
Asset management 00 Budget control 00 Investments 00 Learning systems 00 Life cycle 00 Pipelines 00 Repair 00 Surveys 00 Water pipelines 00 Capital budgets 00 Condition assessments 00 Infrastructure asset management 00 Likelihood of failures 00 Overall costs 00 Reducing costs 00 Replacement projects 00 Water infrastructure 00 Costs;;
Eco-composite 00 Kenaf 00 Multi-level modelling 00 Thermal conductivity 00 Transient-electrothermal technique;;
;;
;;
;;
;;
;;
;;
Anomaly Response 00 Controller Training 00 Flight Termination System 00 Hazardous Commands 00 Launch Safety 00 Mission Control 00 Mission Control Responsibilities 00 Range Safety 00 Spaceflight Controllers;;
;;
;;
;;
22q11.2 deletion syndrome 00 diffusion anisotropy 00 Diffusion MRI 00 dMRI 00 white matter;;
Hyperparameter optimization 00 Metalearning;;
;;
;;
;;
Aperiodic arrays 00 array antennas 00 peak sidelobe level (PSLL) 00 rotated tiles;;
Acceleration 00 Football helmet 00 Impact detection 00 Impact energy 00 Impact velocity 00 Piezoelectric foam 00 Self-sensing foam 00 Severity index;;
Articulatory kinematics 00 auditory feedback 00 silent articulation 00 voicing 00 whisper;;
;;
Multipath channels 00 multiple-input multiple-output (MIMO) systems 00 radio propagation;;
;;
Kumamoto Earthquake 00 Kumamoto water supply 00 Lifeline damage 00 Pipeline failure rates 00 Water distribution network;;
Conciseness 00 language use 00 professional writing 00 word choice 00 writing style;;
Acoustic basis functions 00 Cut-on phenomena. 00 Cylindrical shell 00 Radiation mode shapes;;
Array effective resistance 00 mutual coupling 00 phased array antennas 00 phased array feeds 00 receiving efficiency 00 scanned beams;;
liquid composite molding 00 Permeability 00 vacuum infusion;;
Analog-to-digital converter (ADC) 00 capacitance measurement 00 capacitor mismatch 00 metal-oxide-metal (MoM) capacitor 00 mismatch characterization;;
BEM 00 Deformable capsule 00 Dynamic refinement 00 FEM 00 Isogeometric analysis 00 T-spline;;
Bragg gratings 00 delamination 00 nondestructive testing 00 sensor systems 00 tunable filters;;
Application security 00 Layered security 00 Repairing Applications 00 Secure software development 00 Security;;
;;
Cost reduction 00 Computational costs 00 Computational expense 00 Cooperating vehicles 00 Dynamic grouping 00 Mission objectives 00 Operational environments 00 Receding horizon control 00 Receding horizon controllers 00 Unmanned vehicles;;
;;
3D printing 00 Additive manufacturing 00 Insertion loss 00 Selective Laser Melting 00 Surface roughness 00 Waveguide attenuation;;
employee turnover 00 human resources 00 Personality profile assessment;;
;;
Friction stir processing 00 Friction stir welding 00 Heat source method 00 Model predictive control 00 PID 00 Temperature control 00 Temperature models;;
Accuracy 00 Microwave 00 Mixed model analysis of variance 00 Performance 00 Signal 00 Traffic volume;;
Adaptive and intelligent educational systems 00 Data and knowledge visualization 00 Data mining 00 Homework support systems 00 Literature review 00 Self-assessment technologies;;
Adaptability 00 Developing world 00 Evolvability 00 Excess 00 Improved cookstove 00 Reconfigurability 00 Reconfigure 00 System design;;
FPGA 00 High Energy Physics 00 Instrumentation 00 Measurement 00 Reliability 00 Scrubbing;;
Bandpass filters 00 Circuit elements 00 Narrow band filter 00 Phase-shift method 00 Spectral purity 00 Standing problems 00 Tunable oscillator 00 Typical values 00 Very low frequency 00 Voltage dividers;;
;;
;;
Foam sensor 00 Functional data analysis 00 Gait analysis 00 Ground reaction force 00 Nanocomposite 00 Wearable sensor;;
Assessment 00 Creativity 00 Innovation 00 Validity;;
;;
Industrial engineering 00 Industry 00 Ascending auctions 00 Average numbers 00 Internet auctions 00 Unobserved auction participation 00 Commerce;;
air conditioning 00 asthma 00 endotoxin 00 evaporative cooling 00 hygiene hypothesis 00 indoor environmental quality;;
Compliant mechanism 00 Minimally invasive surgery 00 Nitinol 00 Surgical instrument;;
;;
dGEMRIC 00 Femoroacetabular impingement 00 Hip 00 MRI 00 Osteoarthritis;;
Mixed-initiative interaction 00 Topic modeling 00 User study;;
;;
bad news 00 directness 00 Negative message buffer 00 visuals;;
;;
Fluorescence sensing 00 Lab-on-a-chip 00 Optofluidics 00 Pecvd 00 SiO2 00 Water absorption;;
;;
aerodynamics 00 flow-structure interactions 00 interfacial flows (free surface);;
Derivative superstructures 00 Displacement patterns 00 Enumeration;;
Antenna radiation efficiency 00 antenna total radiation efficiency 00 measurement uncertainty 00 millimeter wave 00 openended waveguide (OEW) 00 reverberation chamber (RC) 00 wireless systems;;
;;
;;
Aluminum alloys 00 Friction stir welding 00 Joint properties 00 Process responses;;
Basis Vectors 00 Crystal Structure 00 Database 00 Lattice Vectors 00 Space Groups 00 Wyckoff Positions;;
collaborative design 00 concurrent engineering 00 Multi-user CAD;;
;;
;;
Design Optimization 00 Mobile Robots 00 Soft Robots;;
;;
;;
;;
avionics 00 beam testing 00 BRAM 00 EDAC 00 FPGA 00 IOB 00 MMCM 00 PLL 00 SEE 00 SERDES 00 soft-error rate 00 space;;
;;
Codon bias 00 Deep learning 00 Language modeling 00 Machine learning;;
;;
Economic cycles 00 Organizational issues 00 Organizational learning 00 Recession 00 Recovery;;
Algorithm 00 Colored de Bruijn graph 00 Phylogenetics 00 Whole genome sequence;;
De Bruijn graph 00 Graph 00 GWAS 00 Phylogenetics 00 Polymorphism;;
cooperation 00 game theory;;
;;
Education 00 Product design 00 Project management 00 Teaching 00 Academic institutions 00 Advisory boards 00 Construction management 00 Experiential learning 00 Industry experience 00 Program accreditation 00 Technology and designs 00 Engineering education;;
Construction 00 Experiential learning 00 Simulations;;
;;
;;
;;
;;
;;
;;
Bearings 00 Bridge 00 Damage 00 Experimental analysis 00 Fragility 00 Incremental dynamic analysis 00 Seismic behavior;;
;;
collaboration 00 design intent 00 heterogeneous CAD 00 Interoperability;;
conventional cascode 00 Differential stage 00 low-power amplifier 00 ultra-high voltage gain 00 weak/moderate inversion;;
clean water; Village Drill 00 design for the developing world 00 engineering for global development 00 poverty alleviation;
asset rating 00 climate normalization 00 commercial buildings 00 energy efficiency 00 energy simulation;;
Bézier projection 00 Hierarchical spline spaces 00 Isogeometric analysis 00 Local refinement and coarsening 00 Phase field 00 Tumor growth;;
;;
high-density 00 modeling and simulation 00 Multi-agent modeling 00 UAV systems 00 unmanned aerial vehicles;;
Crystal plasticity 00 Dislocation pile-up 00 Dual phase steel 00 Representative volume element 00 Superdislocation;;
integrated optics 00 intrinsic film stress 00 microfabrication 00 optical waveguides 00 Silica 00 water absorption;;
Air-bubble mixing 00 Microfluidics 00 Point-of-care 00 Single molecule RNA detection;;
Live fuels 00 Shrub combustion 00 Wildland fire modeling;;
Electric distribution network 00 LiDAR 00 Outage prediction model 00 Resilience 00 Severe weather 00 Vegetation management;;
Computational differential geometry 00 dynamic equivalent 00 information 00 manifold boundary approximation method 00 system identification;;
;;
Cell therapy 00 Endogenous TGase 00 Micro-scaffold capsule 00 Pathological liver 00 Targeted cell delivery;;
;;
band gaps 00 ferritin 00 metal oxides 00 nanoparticles 00 synthesis;;
band gaps 00 ferritin 00 manganese oxide 00 nanoparticles 00 synthesis;;
Heterogeneous CAD 00 MESH CAD 00 Neutral Format;;
3-omega 00 Spider silk 00 Synthetic silk 00 Thermal characterization 00 Transient electrothermal technique;;
Essential tremor 00 Frequency response 00 Impedance 00 Parkinson’s disease 00 System dynamics 00 Tremor suppression;;
;;
available data 00 Bayesian analysis 00 designed experiments 00 repeats and replicates;;
automotive applications 00 isogeometric analysis 00 Kirchhoff-Love 00 Reissner-Mindlin 00 shells;;
human-robot interaction 00 multi-objective decision making 00 robot path-planning 00 user interface design;;
haptic feedback 00 human-swarm interaction 00 situation awareness;;
Back projection 00 Radar 00 SAR tomography 00 Synthetic aperture radar 00 Vegetation scattering;;
Dynamic data reconciliation 00 Industrial data 00 Kalman filter 00 Moving horizon estimation 00 Wired drillpipe;;
;;
Front-end planning (FEP) 00 Planning 00 Project definition rating index (PDRI) 00 Risk management 00 Scope definition;;
Jet 00 ODT 00 One dimensional turbulence 00 Particle dispersion;;
Aluminum alloys 00 Friction stir spot welding 00 Joint strength 00 Material flow 00 Process response 00 Tool geometry;;
Bayesian additive regression trees 00 critical infrastructure outage modeling 00 electric distribution network 00 quantile regression forests 00 weather hazards;;
Elementary teacher education 00 STEM 00 Technology education;;
Failure modes 00 Masonry prisms 00 Nonlinear behavior 00 Stiffness ratio 00 Stress-strain relationship;;
;;
disordered nucleation 00 flux penetration 00 superconducting radio frequency cavities 00 superheating field;;
Electron backscattering diffraction (EBSD) 00 Friction stir processing 00 Friction stir welding 00 In-situ 00 Recrystallization 00 Texture;;
Effective area shape 00 Poynting streamlines 00 receiving antenna 00 superdirective antenna;;
Algorithms 00 Atria 00 Optimization 00 Skybridges 00 Structural analysis 00 Tall buildings;;
Data association 00 multiple target tracking (MTT) 00 random sample consensus (RANSAC);;
;;
Bed load 00 Database 00 Hydrologic information system 00 Sediment 00 Transport;;
Active integrated antenna (AIA) 00 circular polarization (CP) 00 harmonic suppression 00 linear polarization (LP) 00 patch antenna 00 power added efficiency (PAE);;
;;
;;
;;
;;
;;
;;
;;
Image analysis 00 Liquid resin infusion 00 Void transport 00 Voids;;
;;
;;
Education 00 Product design 00 Studios 00 Course evaluations 00 Design creativities 00 Design Exploration 00 Design synthesis 00 Educational goals 00 Framework 00 Insight 00 Project experiences 00 Students;;
Education 00 Product design 00 Sales 00 Assessment practices 00 Design assessments 00 Design project assessments 00 Face to face 00 Feedback to students 00 Formative and summative assessments 00 Project based learning 00 Public assessment 00 Students;;
Copyright 00 Design patent 00 Industrial design 00 IP trends 00 Live projects 00 Sponsored projects 00 Trademark 00 Utility patent;;
Design thinking 00 Experience design 00 Holistic design 00 Human centered design 00 Interdisciplinary design;;
Bio plastic 00 Bio-inspired design / biomimetics 00 Ecodesign 00 Social responsibility 00 Sustainability;;
Antarctic 00 Arctic 00 radar remote sensing 00 sea ice;;
Shrub combustion 00 Wildland fire;;
Fires 00 Flame-merging;;
Coal 00 Modeling 00 Pyrolysis;;
Coal 00 Method of moments 00 Soot formation;;
epithelial cells 00 kidney 00 magnetic resonance imaging 00 organ regeneration 00 Recellularization;;
;;
;;
Bandpass filters 00 Frequency domain analysis 00 Matched filters 00 Pulse shaping circuits 00 Signal receivers 00 Telemetering 00 Aeronautical telemetry 00 Bandwidth efficient 00 Finite supports 00 Frequency domains 00 Linear modulations 00 Nyquist pulse 00 Spectral containment 00 Square roots 00 Pulse shaping;;
Biomass 00 Flat-Flame Burner 00 Live fuel 00 Pyrolysis;;
;;
;;
Fires 00 Flame - merging;;
;;
;;
;;
;;
;;
;;
;;
;;
Convective heat transfer 00 Jet impingement 00 Slip length 00 Superhydrophobic surface 00 Temperature jump length;;
Drag reduction 00 Superhydrophobic surfaces 00 Two-phase flow;;
Configuration scrubbing 00 field programmable gate arrays 00 single-event upset (SEU);;
BRAM scrubbing 00 configuration scrubbing 00 Feedback TMR 00 FPGA 00 LEON3 00 neutron beam test 00 reliability 00 SEU mitigation 00 soft processors 00 TMR;;
Boiling 00 Droplet impingement 00 Superhydrophobic;;
Barrier layer 00 Ellipsometry 00 Extreme ultraviolet 00 Genetic algorithm 00 Hydrogen etch 00 Mirrors 00 Ultraviolet;;
;;
;;
;;
;;
Finishing contractors 00 Lean construction 00 Lean implementation 00 Subcontractors;;
Lean construction 00 Relational contracting 00 Unethical behavior;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
Combined heat and power 00 Combined scheduling and control 00 Dynamic optimization 00 Optimal control 00 Optimal design;;
;;
Ash aerosol 00 Fouling ash 00 Minimum recycled flue gas 00 Oxy-fuel combustion;;
;;
;;
Method of moments 00 Soot formation;;
Char oxidation 00 Coal 00 Kinetics 00 Oxy-fuel 00 Sensitivity analysis;;
;;
;;
;;
;;
;;
;;
Conducting polymer 00 Electrochemical energy storage 00 Electrode 00 Organic battery 00 Radical polymer 00 Redox flow battery;;
Amperometric sensing 00 Carbon nanotube 00 Convection 00 Electrochemical 00 Microfluidics 00 Platinum;;
;;
Biosensing 00 integrated optics 00 lab-on-chip 00 optofluidics 00 photonics;;
;;
;;
;;
;;
;;
;;
Carbon nanotubes 00 Microfabrication 00 Vascular stent;;
Convergence 00 Emergent behavior 00 Leader placement 00 Robotic swarms;;
;;
;;
Comprehensive modeling 00 Oxy-coal 00 Single-particle combustion;;
Friction stir scribe joining;;
AA7075 00 Corrosion 00 EBSD 00 EXCO 00 FSW 00 Microstructure 00 SEM;;
;;
;;
;;
;;
holography 00 near-to-eye display 00 waveguide optics;;
;;
Cruise control 00 decentralized control 00 linear feedback control systems 00 motion control/collision avoidance;;
;;
;;
FFT 00 Neural networks 00 Photothermal 00 Quantum dots 00 Thermal diffusivity 00 Thermometry;;
Formability 00 Magnesium alloy 00 Microstructure;;
;;
;;
AA6022 00 Aluminum to steel joining 00 Friction stir scribe 00 Friction stir welding 00 Mild steel 00 Surfalex 6s 00 Ultra high strength steel;;
Linear systems 00 minimal realization theory 00 systems biology;;
Crop diversification 00 Cropping systems models 00 Dryland cropping systems 00 Herbicide resistant weeds 00 No-till 00 Residue management;;
